run_id	Step	root_mean_squared_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	95.82368292333497
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	39.110193535919706
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	25.97622440459557
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	24.724937200548602
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	21.68744150672436
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	17.864941813566553
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	20.641665915277468
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	16.311786677265587
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	17.17375046939958
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	13.52696586852004
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	23.466205134098324
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	16.26985210992834
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	37.3769000545556
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	18.17924418540783
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	32.09323124777234
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	14.77216543363546
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	23.4816576021937
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	16.089029940744837
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	24.964395828605227
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	14.886108497770294
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	37.622123320596515
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	13.591856230247393
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	11.318608053276908
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	23.096441974264582
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	21.49023835670456
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	18.02727546864195
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	20.628761265307112
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	11.317761330813322
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	15.732488572577353
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	21.12574922514972
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	14.095369009910192
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	17.855694911733007
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	26.94148724485824
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	14.458265917481985
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	34.47405264464949
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	22.493617600302102
